id,name,start_date,day_end,price,min_price,max_price,contracts_quantity
2,21057-1602,1996-02-05,17-Апр-96,91.11,91.05,91.11,23
3,22020-1602,1996-02-05,10-Июл-96,79.11,79.03,79.11,209
4,22020-1503,1996-02-05,10-Июл-96,83.0,83.0,83.0,10
5,22020-1904,1996-02-05,10-Июл-96,88.0,88.0,88.0,48
6,21057-1602,1996-02-06,17-Апр-96,91.27,91.19,91.27,165
7,22020-1602,1996-02-06,10-Июл-96,79.4,79.4,79.41,93
8,22020-1503,1996-02-06,10-Июл-96,83.0,83.0,83.0,0
9,22020-1904,1996-02-06,10-Июл-96,89.9,89.9,89.9,1
10,21057-1602,1996-02-07,17-Апр-96,91.16,91.16,91.2,135
11,22020-1602,1996-02-07,10-Июл-96,79.27,79.25,79.3,229
12,22020-1503,1996-02-07,10-Июл-96,83.0,83.0,83.0,0
13,22020-1904,1996-02-07,10-Июл-96,89.8,87.9,87.9,200
14,21057-1602,1996-02-08,17-Апр-96,91.68,91.55,91.55,42
15,22020-1602,1996-02-08,10-Июл-96,79.85,79.85,79.88,177
16,22020-1503,1996-02-08,10-Июл-96,83.5,83.5,83.5,210
17,22020-1904,1996-02-08,10-Июл-96,90.3,89.8,89.8,320
18,21057-1602,1996-02-09,17-Апр-96,91.63,91.63,91.63,10
19,22020-1602,1996-02-09,10-Июл-96,79.81,79.81,79.81,132
20,22020-1503,1996-02-09,10-Июл-96,83.2,83.2,83.2,12
21,22020-1904,1996-02-09,10-Июл-96,90.3,90.3,90.3,17
22,21057-1602,1996-02-12,17-Апр-96,91.53,91.53,91.53,16
23,22020-1602,1996-02-12,10-Июл-96,79.85,79.8,79.8,10
24,22020-1503,1996-02-12,10-Июл-96,83.2,83.2,83.2,0
25,22020-1904,1996-02-12,10-Июл-96,90.3,90.3,90.3,0
26,21057-1602,1996-02-13,17-Апр-96,91.51,91.5,91.51,47
27,22020-1602,1996-02-13,10-Июл-96,79.95,79.94,79.94,198
