"torg_date","name","day_end","quotation","min_quot","max_quot","num_contr"
"05-Feb-96","21057-1602","17-Apr-96","91.11","91.05","91.11","23"
"05-Feb-96","22020-1602","10-Jul-96","79.11","79.03","79.11","209"
"05-Feb-96","22020-1503","10-Jul-96","83","83","83","10"
"05-Feb-96","22020-1904","10-Jul-96","88","88","88","48"
"06-Feb-96","21057-1602","17-Apr-96","91.27","91.19","91.27","165"
"06-Feb-96","22020-1602","10-Jul-96","79.4","79.4","79.41","93"
"06-Feb-96","22020-1503","10-Jul-96","83","83","83","0"
"06-Feb-96","22020-1904","10-Jul-96","89.9","89.9","89.9","1"
"07-Feb-96","21057-1602","17-Apr-96","91.16","91.16","91.2","135"
"07-Feb-96","22020-1602","10-Jul-96","79.27","79.25","79.3","229"
"07-Feb-96","22020-1503","10-Jul-96","83","83","83","0"
"07-Feb-96","22020-1904","10-Jul-96","89.8","87.9","87.9","200"
"08-Feb-96","21057-1602","17-Apr-96","91.68","91.55","91.55","42"
"08-Feb-96","22020-1602","10-Jul-96","79.85","79.85","79.88","177"
"08-Feb-96","22020-1503","10-Jul-96","83.5","83.5","83.5","210"
"08-Feb-96","22020-1904","10-Jul-96","90.3","89.8","89.8","320"
"09-Feb-96","21057-1602","17-Apr-96","91.63","91.63","91.63","10"
"09-Feb-96","22020-1602","10-Jul-96","79.81","79.81","79.81","132"
"09-Feb-96","22020-1503","10-Jul-96","83.2","83.2","83.2","12"
"09-Feb-96","22020-1904","10-Jul-96","90.3","90.3","90.3","17"
"12-Feb-96","21057-1602","17-Apr-96","91.53","91.53","91.53","16"
"12-Feb-96","22020-1602","10-Jul-96","79.85","79.8","79.8","10"
"12-Feb-96","22020-1503","10-Jul-96","83.2","83.2","83.2","0"
"12-Feb-96","22020-1904","10-Jul-96","90.3","90.3","90.3","0"
"13-Feb-96","21057-1602","17-Apr-96","91.51","91.5","91.51","47"
"13-Feb-96","22020-1602","10-Jul-96","79.95","79.94","79.94","198"
"13-Feb-96","22020-1503","10-Jul-96","83.2","83.2","83.2","0"
"13-Feb-96","22020-1904","10-Jul-96","89","89","89","10"
"14-Feb-96","21057-1602","17-Apr-96","91.61","91.59","91.65","148"
"14-Feb-96","22020-1602","10-Jul-96","80.21","80.2","80.2","36"
"14-Feb-96","22020-1503","10-Jul-96","83.2","83.2","83.2","0"
"14-Feb-96","22020-1904","10-Jul-96","89","89","89","0"
"15-Feb-96","21057-1602","17-Apr-96","91.41","91.4","91.42","57"
"15-Feb-96","22020-1602","10-Jul-96","79.56","79.56","79.56","110"
"16-Feb-96","21058-1503","30-Apr-96","92.7","92.7","92.7","58"
"19-Feb-96","21058-1503","30-Apr-96","92.7","0","0","0"
"20-Feb-96","21058-1503","30-Apr-96","94.7","0","9.47","100"
"20-Feb-96","22020-1503","10-Jul-96","83.2","0","8.32","26"
"21-Feb-96","21058-1503","30-Apr-96","93.9","0","0","120"
"21-Feb-96","22020-1503","10-Jul-96","83.2","0","0","0"
"21-Feb-96","22020-1904","10-Jul-96","90.5","90.5","91","26"
"23-Feb-96","21058-1503","30-Apr-96","94.95","94.95","94.95","6"
"23-Feb-96","22020-1904","10-Jul-96","89","89","89","2"
"26-Feb-96","21058-1503","30-Apr-96","94.98","94.7","94.95","411"
"26-Feb-96","21058-2903","30-Apr-96","96.95","96.95","96.95","3"
"26-Feb-96","22020-1904","10-Jul-96","89.91","89.91","89.91","2"
"27-Feb-96","21058-1503","30-Apr-96","94.8","94.8","94.8","160"
"27-Feb-96","21058-2903","30-Apr-96","96.95","96.95","96.95","30"
"27-Feb-96","22021-2903","14-Aug-96","82","82","82","15"
"28-Feb-96","21058-1503","30-Apr-96","94.96","94.92","94.97","179"
"28-Feb-96","22020-1503","10-Jul-96","83.2","0","0","0"
"28-Feb-96","21058-2903","30-Apr-96","96.96","96.96","96.96","3"
"28-Feb-96","22021-2903","14-Aug-96","82","0","0","0"
"28-Feb-96","22020-1904","10-Jul-96","90.41","90.41","90.41","272"
"29-Feb-96","21058-1503","30-Apr-96","94.25","94.1","94.4","661"
"29-Feb-96","22020-1503","10-Jul-96","83.1","83.1","83.1","12"
"29-Feb-96","21058-2903","30-Apr-96","96.21","96.21","96.21","2"
"29-Feb-96","22021-2903","14-Aug-96","81.8","81.8","81.8","208"
